time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-06T21:02:03.594Z,36.54,36.4583,4.372,4.4,mb,54,132,0.872,0.97,us,us6000jm2x,2023-02-06T21:16:28.040Z,"Turkey-Syria border region",earthquake,5.17,3.4,0.088,37,reviewed,us,us
2023-02-06T20:53:24.243Z,38.2038,38.2945,10,4.9,mb,98,55,1.342,0.96,us,us6000jm2v,2023-02-06T21:08:29.040Z,"11 km SSE of Yeşilyurt, Turkey",earthquake,5.23,1.862,0.068,68,reviewed,us,us
2023-02-06T20:44:00.124Z,37.987,36.5522,10,5,mb,63,44,0.967,0.61,us,us6000jm2t,2023-02-06T21:00:31.040Z,"Central Turkey",earthquake,4.39,1.841,0.071,63,reviewed,us,us
2023-02-06T20:37:52.300Z,37.1694,37.0781,10,5.3,mww,64,69,0.105,1.23,us,us6000jm2r,2023-02-06T21:06:38.611Z,"29 km WNW of Gaziantep, Turkey",earthquake,5.73,1.921,0.075,17,reviewed,us,us
2023-02-06T20:20:16.326Z,24.268,121.8074,20.55,4.8,mb,68,85,0.216,1.02,us,us6000jm2l,2023-02-07T04:28:56.184Z,"38 km NNE of Hualien City, Taiwan",earthquake,3.32,2.889,0.062,82,reviewed,us,us
2023-02-06T20:14:12.433Z,37.9636,36.4884,10,4.2,mb,38,77,0.976,1.33,us,us6000jm2k,2023-02-06T21:29:05.040Z,"6 km S of Göksun, Turkey",earthquake,4.73,1.913,0.115,21,reviewed,us,us
2023-02-06T20:05:35.367Z,37.9592,36.3495,10,4.7,mb,72,38,0.975,1.38,us,us6000jm29,2023-02-06T20:41:33.040Z,"14 km WSW of Göksun, Turkey",earthquake,4.37,1.072,0.064,74,reviewed,us,us
2023-02-06T19:49:40.195Z,38.1063,36.6214,10,4.3,mb,34,67,0.961,0.67,us,us6000jm28,2023-02-06T21:29:49.040Z,"14 km NE of Göksun, Turkey",earthquake,5.63,1.963,0.168,10,reviewed,us,us
2023-02-06T19:40:16.045Z,38.0272,38.179,5.578,4.6,mb,89,54,1.15,0.7,us,us6000jm2a,2023-02-06T21:44:28.040Z,"5 km W of Çelikhan, Turkey",earthquake,5.11,4.893,0.067,67,reviewed,us,us
2023-02-06T19:35:50.692Z,37.4716,37.1628,10,4.3,mb,43,59,0.301,0.69,us,us6000jm21,2023-02-06T22:39:01.069Z,"12 km W of Pazarcık, Turkey",earthquake,3.19,1.912,0.111,23,reviewed,us,us
2023-02-06T19:30:59.956Z,38.0636,37.334,10,4.4,mb,53,82,0.895,0.95,us,us6000jm1z,2023-02-06T22:35:20.040Z,"12 km E of Ekinözü, Turkey",earthquake,4.01,1.917,0.098,31,reviewed,us,us
2023-02-06T19:15:47.703Z,37.9712,36.3823,10,4.4,mb,34,79,0.975,0.93,us,us6000jm1w,2023-02-06T22:33:15.040Z,"Central Turkey",earthquake,3.72,1.806,0.12,20,reviewed,us,us
2023-02-06T18:13:22.612Z,-33.9383,-70.4991,107.209,4.2,mb,27,115,0.104,0.32,us,us6000jm1q,2023-02-06T22:28:51.040Z,"25 km NE of Graneros, Chile",earthquake,4.91,4.249,0.305,3,reviewed,us,us
2023-02-06T18:03:53.837Z,37.9794,36.45,10,5.3,mww,110,20,0.992,0.75,us,us6000jm1p,2023-02-06T23:07:02.823Z,"central Turkey",earthquake,2.93,1.81,0.098,10,reviewed,us,us
2023-02-06T18:02:44.519Z,38.1001,36.4785,10,4.4,mb,39,72,0.9,0.64,us,us6000jm1n,2023-02-06T22:17:58.040Z,"8 km N of Göksun, Turkey",earthquake,6.07,1.922,0.112,23,reviewed,us,us
2023-02-06T17:46:49.973Z,38.0906,37.855,10,4.5,mb,51,83,1.05,1.09,us,us6000jm13,2023-02-06T22:15:27.040Z,"1 km WNW of Doğanşehir, Turkey",earthquake,3.92,1.717,0.11,24,reviewed,us,us
2023-02-06T17:33:51.627Z,16.8513,-97.9298,30.868,4.4,mb,64,205,0.933,0.88,us,us6000jlyh,2023-02-07T00:45:05.541Z,"Oaxaca, Mexico",earthquake,11.21,10.141,0.053,101,reviewed,us,us
2023-02-06T17:32:50.448Z,-15.4982,-172.9065,10,5,mb,64,88,2.584,0.66,us,us6000jlyl,2023-02-06T22:07:26.040Z,"Samoa Islands region",earthquake,7.93,1.898,0.06,89,reviewed,us,us
2023-02-06T17:31:33.226Z,36.967,36.7482,10,4.5,mb,56,86,0.422,1.24,us,us6000jly1,2023-02-06T22:01:25.040Z,"17 km WNW of Musabeyli, Turkey",earthquake,4.41,1.93,0.099,30,reviewed,us,us
2023-02-06T17:26:24.437Z,38.0896,36.7014,10,4.7,mb,80,42,1.001,0.97,us,us6000jlwh,2023-02-06T21:59:00.040Z,"19 km ENE of Göksun, Turkey",earthquake,4.69,1.844,0.067,67,reviewed,us,us
2023-02-06T17:22:01.451Z,38.0974,36.478,10,4.1,mb,24,77,0.902,1.1,us,us6000jlww,2023-02-06T21:54:09.040Z,"8 km NNW of Göksun, Turkey",earthquake,3.91,1.914,0.175,9,reviewed,us,us
2023-02-06T17:11:47.700Z,37.9232,37.3396,10,4.3,mb,38,64,0.757,1.02,us,us6000jlu3,2023-02-06T21:59:24.040Z,"9 km WSW of Nurhak, Turkey",earthquake,5.49,1.955,0.133,16,reviewed,us,us
2023-02-06T16:55:37.348Z,38.0975,37.4326,16.247,4.5,mb,82,67,1.455,0.51,us,us6000jlth,2023-02-06T20:45:06.040Z,"14 km N of Nurhak, Turkey",earthquake,6.06,4.438,0.077,49,reviewed,us,us
2023-02-06T16:43:29.298Z,37.9616,36.4753,10,5,mb,126,34,0.981,0.77,us,us6000jlta,2023-02-06T18:11:37.184Z,"6 km SSW of Göksun, Turkey",earthquake,3.3,1.655,0.047,143,reviewed,us,us
2023-02-06T16:32:11.313Z,36.6111,36.4444,10,4.9,mb,51,93,0.831,0.97,us,us6000jlt7,2023-02-06T18:40:09.801Z,"14 km NNE of Kırıkhan, Turkey",earthquake,8.01,1.87,0.063,79,reviewed,us,us
2023-02-06T16:26:39.603Z,38.0304,36.6206,10,4.8,mb,68,39,0.976,0.67,us,us6000jlt1,2023-02-06T16:45:58.040Z,"10 km E of Göksun, Turkey",earthquake,5.13,1.845,0.065,73,reviewed,us,us
2023-02-06T16:26:15.509Z,37.9847,36.9072,10,4.6,mb,88,61,0.846,0.58,us,us6000jlt5,2023-02-06T17:02:26.040Z,"26 km WSW of Ekinözü, Turkey",earthquake,6.3,1.863,0.074,55,reviewed,us,us
2023-02-06T16:06:43.568Z,38.0248,37.0728,10,4.3,mb,19,100,0.858,0.49,us,us6000jlsy,2023-02-06T17:43:52.040Z,"10 km WSW of Ekinözü, Turkey",earthquake,4.53,1.923,0.188,8,reviewed,us,us
2023-02-06T15:44:37.816Z,60.1037,-153.5109,150.1,2.6,ml,,,,0.55,ak,ak0231pg2urp,2023-02-06T15:47:05.018Z,"46 km ESE of Port Alsworth, Alaska",earthquake,,0.6,,,automatic,ak,ak
2023-02-06T15:33:32.803Z,38.161,38.1869,8.774,5.2,mb,94,66,1.255,0.94,us,us6000jlsu,2023-02-06T15:49:49.040Z,"15 km NNW of Çelikhan, Turkey",earthquake,3.93,4.267,0.061,88,reviewed,us,us
2023-02-06T15:27:29.330Z,19.0286666666667,-67.151,9.49,3.15,md,23,245,0.5507,0.31,pr,pr71395518,2023-02-06T20:14:21.040Z,"59 km N of San Antonio, Puerto Rico",earthquake,0.87,1.7,0.0599860471753311,13,reviewed,pr,pr
2023-02-06T15:14:34.430Z,37.8679,37.7388,10,5.3,mb,108,55,0.812,0.73,us,us6000jlsq,2023-02-06T18:21:03.780Z,"Central Turkey",earthquake,4.92,1.838,0.046,156,reviewed,us,us
2023-02-06T14:57:47.066Z,37.9248,37.9099,10,4.5,mb,25,108,1.867,0.59,us,us6000jlsn,2023-02-06T17:54:08.040Z,"central Turkey",earthquake,6.66,1.933,0.135,16,reviewed,us,us
2023-02-06T14:56:54.305Z,32.8793335,-100.9338081,5.453409831,3.1,ml,15,61,0.02420165042,0.2,tx,tx2023coxt,2023-02-06T15:45:56.809Z,"17 km N of Snyder, Texas",earthquake,0.7630884767,0.9238453839,0.1,8,reviewed,tx,tx
2023-02-06T14:51:16.243Z,38.0912,38.4342,10,4.4,mb,23,115,1.337,1.25,us,us6000jlsl,2023-02-06T17:37:32.040Z,"16 km WNW of Sincik, Turkey",earthquake,2.83,1.957,0.126,18,reviewed,us,us
2023-02-06T14:41:57.408Z,38.1202,37.8325,10,4.4,mb,15,99,1.068,0.49,us,us6000jlsj,2023-02-06T18:03:15.040Z,"5 km NW of Doğanşehir, Turkey",earthquake,4.33,1.95,0.219,6,reviewed,us,us
